,Dispositivo,data_hora,Temperatura,Umidade,N,P,K,pH,Produção
0,1366,2025-11-09T00:00:00.000,23.4901424590337,55.024477467772094,medio,baixo,medio,5.314412854611147,17.46877691912475
1,5409,2025-11-09T01:00:00.000,21.585207096486446,53.13703521003201,baixo,baixo,medio,4.220328175004926,8.302230021774209
2,2111,2025-11-09T02:00:00.000,23.94306561430208,69.0929074863091,medio,medio,medio,4.6481545247841485,10.603503704483938
3,5409,2025-11-09T03:00:00.000,26.569089569224076,71.19427179460703,alto,medio,baixo,6.03316389603251,3.2584427241628195
4,1366,2025-11-09T04:00:00.000,21.29753987582999,50.94758434476926,medio,baixo,medio,8.815514077478877,9.284343891862216
5,5409,2025-11-09T05:00:00.000,21.29758912915246,78.0863673873107,alto,alto,baixo,7.4322918602158055,0
6,5409,2025-11-09T06:00:00.000,26.737638446522176,51.55913850954417,medio,medio,medio,7.076006355738499,17.43341854840294
7,5409,2025-11-09T07:00:00.000,24.302304187458727,66.23889005903212,medio,medio,alto,5.76093293924873,7.651407080448052
8,2111,2025-11-09T08:00:00.000,20.591576842195146,71.27181558352748,baixo,alto,medio,9.590522316596898,3.079456683321615
9,1366,2025-11-09T09:00:00.000,23.627680130757895,76.12907371238256,medio,baixo,medio,6.38209024742315,36.01713647565912
10,1366,2025-11-09T10:00:00.000,20.609746921562614,71.42260796397284,medio,medio,medio,4.522556600774629,1.705192293697121
11,2111,2025-11-09T11:00:00.000,20.60281073928923,74.05184249209375,baixo,medio,medio,7.702399096706808,1.0345882849828774
12,2111,2025-11-09T12:00:00.000,22.725886814698104,60.18350577628418,medio,alto,alto,4.683030360859608,0.3720935291230999
13,2111,2025-11-09T13:00:00.000,16.260159266026605,74.44475341239537,medio,medio,alto,6.0713388568101525,4.619660919077652
14,2602,2025-11-09T14:00:00.000,16.8252465024609,52.40344539154025,medio,baixo,medio,7.044471632306854,0
15,5409,2025-11-09T15:00:00.000,20.313137412277083,76.84449968181583,medio,alto,medio,9.245335148111055,9.932096825680038
16,5409,2025-11-09T16:00:00.000,18.961506638996728,66.42777128461209,medio,baixo,alto,6.9612794820407125,21.482622153759205
17,1366,2025-11-09T17:00:00.000,22.94274199778582,74.51893309887481,baixo,alto,alto,8.213552596189984,0
18,5409,2025-11-09T18:00:00.000,19.27592777343637,63.569548535549,baixo,alto,medio,9.956901033994422,8.259619790503857
19,2602,2025-11-09T19:00:00.000,17.763088895994127,69.30733085589574,medio,baixo,medio,4.78893471938789,3.851058049436921
20,2111,2025-11-09T20:00:00.000,26.39694630676466,65.7920798280834,medio,medio,baixo,5.648389153117117,5.381185891547764
21,1366,2025-11-09T21:00:00.000,21.322671098540393,71.94768565265996,baixo,baixo,alto,6.367456453585879,7.196951338992605
22,1366,2025-11-09T22:00:00.000,22.20258461406377,52.44889946091769,alto,medio,baixo,6.530969071232988,1.2351875287365761
23,5409,2025-11-09T23:00:00.000,17.72575544135963,51.81056251971691,medio,medio,medio,6.466126451593275,11.870500453579357
24,1366,2025-11-10T00:00:00.000,20.36685182642445,57.41309702030439,medio,medio,baixo,9.445666015339329,9.903460476360546
25,2111,2025-11-10T01:00:00.000,22.3327677691296,54.78634040339565,baixo,alto,baixo,8.284195866801138,5.314367766974177
26,1366,2025-11-10T02:00:00.000,18.54701926773309,76.15350699776604,medio,medio,medio,7.647431284544222,13.845783394218897
27,2111,2025-11-10T03:00:00.000,23.127094055037016,56.57641962074133,medio,medio,alto,5.856236307176692,0
28,2602,2025-11-10T04:00:00.000,20.198083930243584,79.27595767457393,medio,alto,baixo,8.94274230532777,0
29,2602,2025-11-10T05:00:00.000,21.124918750620168,60.10687375313321,medio,alto,medio,9.730363068909934,0
30,2111,2025-11-10T06:00:00.000,20.194880163311808,55.46353747066098,alto,baixo,baixo,8.927189695301358,2.9910945236762445
31,5409,2025-11-10T07:00:00.000,27.556834553526812,73.69095521427437,medio,alto,baixo,4.009390631148838,7.188786871219795
32,1366,2025-11-10T08:00:00.000,21.9595083257862,69.76123326502628,baixo,baixo,medio,7.818408221100443,12.941568676408277
33,5409,2025-11-10T09:00:00.000,18.8268672131323,64.94587149359417,medio,alto,medio,4.306812288652605,5.984608569716105
34,1366,2025-11-10T10:00:00.000,24.467634736309567,66.66090652812893,medio,baixo,baixo,5.545643322002331,8.013528005353557
35,2602,2025-11-10T11:00:00.000,18.337469050086934,71.57605334816792,medio,baixo,medio,4.357148202086631,13.303399791310206
36,2602,2025-11-10T12:00:00.000,22.626590785014265,56.853642239938964,baixo,medio,baixo,7.622772717696327,6.890907553483606
37,2602,2025-11-10T13:00:00.000,16.120989628360675,79.89001748170226,baixo,medio,medio,8.119539480955641,8.975112739741036
38,1366,2025-11-10T14:00:00.000,18.015441853304708,79.2437948644035,alto,medio,alto,4.686925828395431,0
39,2602,2025-11-10T15:00:00.000,22.590583707607372,69.50977059040811,medio,baixo,alto,6.303033298269877,19.762927220171417
40,2602,2025-11-10T16:00:00.000,24.215399739986232,55.98627352787435,alto,medio,medio,6.737419053733252,2.2823521413021464
41,2602,2025-11-10T17:00:00.000,22.51410484356991,70.40684727293873,medio,alto,medio,6.214318130565499,4.4936748484747335
42,2602,2025-11-10T18:00:00.000,21.65305515283528,52.165952269375275,medio,medio,alto,4.726150002911158,8.821024112165714
43,5409,2025-11-10T19:00:00.000,21.096688913232132,50.91957506617418,medio,baixo,baixo,6.513686741124852,7.3262675805966815
44,2602,2025-11-10T20:00:00.000,17.56443402889772,57.730486655336406,alto,medio,alto,8.507068286850508,0.2440110350626557
45,2602,2025-11-10T21:00:00.000,19.840467374815873,63.87868870217949,medio,baixo,alto,4.426045987199533,9.232651382254865
46,5409,2025-11-10T22:00:00.000,20.618083687120638,76.04817516225141,medio,alto,baixo,4.4810800844914205,0
47,5409,2025-11-10T23:00:00.000,25.171366678656746,71.81507209298924,baixo,alto,baixo,6.128627751015905,11.262954640687736
48,1366,2025-11-11T00:00:00.000,23.030854868705383,72.28119563599944,medio,medio,alto,9.65035426971355,8.157921149627345
49,2111,2025-11-11T01:00:00.000,16.7108795339118,62.764800033442256,medio,medio,medio,8.011435880337483,9.661770392520888
